Group Name,CVE,Severity,Description,Attack Vector,Attack Complexity,Privileges Required,User Interaction,Confidentiality,Integrity,Availability,CPE String
LockBit 3.0,CVE-2022-35405,9.8 ,Zoho ManageEngine Password Manager Pro before 12101 and PAM360 before 5510 are vulnerable to unauthenticated remote code execution. (This also affects ManageEngine Access Manager Plus before 4303 with authentication.),Network,Low,None,None,High,High,High,"[['Application', 'zohocorp', 'manageengine_access_manager_plus', 'versions up to (excluding) 4.3'], ['Application', 'zohocorp', 'manageengine_access_manager_plus', '4.3'], ['Application', 'zohocorp', 'manageengine_access_manager_plus', '4.3'], ['Application', 'zohocorp', 'manageengine_access_manager_plus', '4.3'], ['Application', 'zohocorp', 'manageengine_pam360', 'versions up to (excluding) 5.5'], ['Application', 'zohocorp', 'manageengine_pam360', '5.5']]"
LockBit 3.0,CVE-2022-31061,9.8 ,"GLPI is a Free Asset and IT Management Software package, Data center management, ITIL Service Desk, licenses tracking and software auditing. In affected versions there is a SQL injection vulnerability which is possible on login page. No user credentials are required to exploit this vulnerability. Users are advised to upgrade as soon as possible. There are no known workarounds for this issue.",Network,Low,None,None,High,High,High,"[['Application', 'glpi-project', 'glpi', '*'], ['Application', 'glpi-project', 'glpi', '*']]"
LockBit 3.0,CVE-2022-2964,7.8 ,A flaw was found in the Linux kernel’s driver for the ASIX AX88179_178A-based USB 2.0/3.0 Gigabit Ethernet Devices. The vulnerability contains multiple out-of-bounds reads and possible out-of-bounds writes.,Local,Low,Low,None,High,High,High,"[['Operating System', 'linux', 'linux_kernel', '5.17'], ['Operating System', 'redhat', 'enterprise_linux', '7.0'], ['Operating System', 'redhat', 'enterprise_linux', '8.0'], ['Operating System', 'redhat', 'enterprise_linux', '9.0']]"
LockBit 3.0,CVE-2022-26134,9.8 ,"In affected versions of Confluence Server and Data Center, an OGNL injection vulnerability exists that would allow an unauthenticated attacker to execute arbitrary code on a Confluence Server or Data Center instance. The affected versions are from 1.3.0 before 7.4.17, from 7.13.0 before 7.13.7, from 7.14.0 before 7.14.3, from 7.15.0 before 7.15.2, from 7.16.0 before 7.16.4, from 7.17.0 before 7.17.4, and from 7.18.0 before 7.18.1.",Network,Low,None,None,High,High,High,"[['Application', 'atlassian', 'confluence_data_center', '*'], ['Application', 'atlassian', 'confluence_data_center', '*'], ['Application', 'atlassian', 'confluence_data_center', '*'], ['Application', 'atlassian', 'confluence_data_center', '*']]"
LockBit 3.0,CVE-2022-30190,7.8 ,Microsoft Windows Support Diagnostic Tool (MSDT) Remote Code Execution Vulnerability.,Local,Low,None,Required,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '20h2'], ['Operating System', 'microsoft', 'windows_10', '21h1'], ['Operating System', 'microsoft', 'windows_10', '21h2'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_11', '-'], ['Operating System', 'microsoft', 'windows_11', '-'], ['Operating System', 'microsoft', 'windows_7', '-']]"
LockBit 3.0,CVE-2022-24086,9.8 ,Adobe Commerce versions 2.4.3-p1 (and earlier) and 2.3.7-p2 (and earlier) are affected by an improper input validation vulnerability during the checkout process. Exploitation of this issue does not require user interaction and could result in arbitrary code execution.,Network,Low,None,None,High,High,High,"[['Application', 'adobe', 'commerce', 'versions up to (excluding) 2.3'], ['Application', 'adobe', 'commerce', '*'], ['Application', 'adobe', 'commerce', '2.3.7'], ['Application', 'adobe', 'commerce', '2.3.7'], ['Application', 'adobe', 'commerce', '*'], ['Application', 'adobe', 'commerce', '2.4.3'], ['Application', 'adobe', 'commerce', '2.4.3']]"
LockBit 3.0,CVE-2022-31676,7.8 ,"VMware Tools (12.0.0, 11.x.y and 10.x.y) contains a local privilege escalation vulnerability. A malicious actor with local non-administrative access to the Guest OS can escalate privileges as a root user in the virtual machine.",Local,Low,Low,None,High,High,High,"[['Application', 'vmware', 'tools', '*'], ['Application', 'vmware', 'tools', '*'], ['Operating System', 'linux', 'linux_kernel', '-'], ['Application', 'vmware', 'tools', '*'], ['Operating System', 'microsoft', 'windows', '-'], ['Operating System', 'debian', 'debian_linux', '10.0'], ['Operating System', 'debian', 'debian_linux', '11.0']]"
Conti,CVE-2021-34527,8.8 ,Windows Print Spooler Remote Code Execution Vulnerability,Network,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '20h2'], ['Operating System', 'microsoft', 'windows_10', '21h1'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1909'], ['Operating System', 'microsoft', 'windows_10', '2004'], ['Operating System', 'microsoft', 'windows_7', '-'], ['Operating System', 'microsoft', 'windows_8.1', '-']]"
Conti,CVE-2020-1472,0.0 ,"An elevation of privilege vulnerability exists when an attacker establishes a vulnerable Netlogon secure channel connection to a domain controller, using the Netlogon Remote Protocol (MS-NRPC), aka 'Netlogon Elevation of Privilege Vulnerability'.",Network,Low,None,None,High,High,High,"[['Application', 'oracle', 'zfs_storage_appliance_kit', '8.8'], ['Operating System', 'debian', 'debian_linux', '9.0'], ['Operating System', 'canonical', 'ubuntu_linux', '14.04'], ['Operating System', 'canonical', 'ubuntu_linux', '16.04'], ['Operating System', 'canonical', 'ubuntu_linux', '18.04'], ['Operating System', 'canonical', 'ubuntu_linux', '14.04'], ['Operating System', 'canonical', 'ubuntu_linux', '16.04'], ['Operating System', 'canonical', 'ubuntu_linux', '16.04'], ['Operating System', 'canonical', 'ubuntu_linux', '18.04'], ['Operating System', 'canonical', 'ubuntu_linux', '20.04'], ['Operating System', 'fedoraproject', 'fedora', '32'], ['Operating System', 'fedoraproject', 'fedora', '33'], ['Operating System', 'fedoraproject', 'fedora', '31'], ['Operating System', 'fedoraproject', 'fedora', '32'], ['Operating System', 'fedoraproject', 'fedora', '33'], ['Application', 'samba', 'samba', 'versions up to (excluding) 4.10'], ['Application', 'samba', 'samba', '*'], ['Application', 'samba', 'samba', '*'], ['Application', 'synology', 'directory_server', 'versions up to (excluding) 4.4'], ['Operating System', 'canonical', 'ubuntu_linux', '14.04'], ['Operating System', 'canonical', 'ubuntu_linux', '16.04'], ['Operating System', 'canonical', 'ubuntu_linux', '18.04'], ['Operating System', 'fedoraproject', 'fedora', '32'], ['Operating System', 'fedoraproject', 'fedora', '33'], ['Operating System', 'opensuse', 'leap', '15.1'], ['Operating System', 'opensuse', 'leap', '15.2'], ['Operating System', 'microsoft', 'windows_server_2008', 'r2'], ['Operating System', 'microsoft', 'windows_server_2012', '-'], ['Operating System', 'microsoft', 'windows_server_2012', 'r2'], ['Operating System', 'microsoft', 'windows_server_2016', '-'], ['Operating System', 'microsoft', 'windows_server_2016', '1903'], ['Operating System', 'microsoft', 'windows_server_2016', '1909'], ['Operating System', 'microsoft', 'windows_server_2016', '2004'], ['Operating System', 'microsoft', 'windows_server_2019', '-']]"
Conti,CVE-2018-13379,9.8 ,"An Improper Limitation of a Pathname to a Restricted Directory (""Path Traversal"") in Fortinet FortiOS 6.0.0 to 6.0.4, 5.6.3 to 5.6.7 and 5.4.6 to 5.4.12 and FortiProxy 2.0.0, 1.2.0 to 1.2.8, 1.1.0 to 1.1.6, 1.0.0 to 1.0.7 under SSL VPN web portal allows an unauthenticated attacker to download system files via special crafted HTTP resource requests.",Network,Low,None,None,High,High,High,"[['Operating System', 'fortinet', 'fortios', '*'], ['Operating System', 'fortinet', 'fortios', '*']]"
