Group Name,CVE,CVSS Version,Severity,Description,Attack Vector,Attack Complexity,Privileges Required,User Interaction,Confidentiality,Integrity,Availability,CPE String
LockBit 3.0,CVE-2021-44228,3.1,0.0 ,"Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and 2.3.1) JNDI features used in configuration, log messages, and parameters do not protect against attacker controlled LDAP and other JNDI related endpoints. An attacker who can control log messages or log message parameters can execute arbitrary code loaded from LDAP servers when message lookup substitution is enabled. From log4j 2.15.0, this behavior has been disabled by default. From version 2.16.0 (along with 2.12.2, 2.12.3, and 2.3.1), this functionality has been completely removed. Note that this vulnerability is specific to log4j-core and does not affect log4net, log4cxx, or other Apache Logging Services projects.",Network,Low,None,None,High,High,High,"[['Application', 'percussion', 'rhythmyx', 'versions up to (including) 7.3'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'bentley', 'synchro', '*'], ['Application', 'bentley', 'synchro_4d', 'versions up to (excluding) 6.2'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Operating System', 'fedoraproject', 'fedora', '35'], ['Operating System', 'fedoraproject', 'fedora', '34'], ['Operating System', 'fedoraproject', 'fedora', '35'], ['Application', 'snowsoftware', 'snow_commander', 'versions up to (excluding) 8.10'], ['Application', 'snowsoftware', 'vm_access_proxy', 'versions up to (excluding) 3.6'], ['Application', 'cisco', 'automated_subsea_tuning', '02.01.00'], ['Application', 'cisco', 'broadworks', '-'], ['Application', 'cisco', 'cloudcenter_suite', '4.10\\(0.15\\)'], ['Application', 'cisco', 'cloudcenter_suite', '5.3\\(0\\)'], ['Application', 'cisco', 'cloudcenter_suite', '5.4\\(1\\)'], ['Application', 'cisco', 'cloudcenter_suite', '5.5\\(0\\)'], ['Application', 'cisco', 'cloudcenter_suite', '5.5\\(1\\)'], ['Application', 'cisco', 'common_services_platform_collector', '002'], ['Operating System', 'cisco', 'fxos', '6.2.3'], ['Operating System', 'cisco', 'fxos', '6.3.0'], ['Operating System', 'cisco', 'fxos', '6.4.0'], ['Operating System', 'cisco', 'fxos', '6.5.0'], ['Operating System', 'cisco', 'fxos', '6.6.0'], ['Operating System', 'cisco', 'fxos', '6.7.0'], ['Operating System', 'cisco', 'fxos', '7.0.0'], ['Operating System', 'cisco', 'fxos', '7.1.0'], ['Hardware Devices', 'cisco', 'firepower_1010', '-'], ['Operating System', 'siemens', 'sppa-t3000_ses3000_firmware', '*'], ['Hardware Devices', 'siemens', 'sppa-t3000_ses3000', '-'], ['Application', 'cisco', 'advanced_malware_protection_virtual_private_cloud_appliance', 'versions up to (excluding) 3.5'], ['Application', 'cisco', 'automated_subsea_tuning', 'versions up to (excluding) 2.1'], ['Application', 'cisco', 'broadworks', 'versions up to (excluding) 2021.11'], ['Application', 'cisco', 'business_process_automation', 'versions up to (excluding) 3.0'], ['Application', 'cisco', 'business_process_automation', '*'], ['Application', 'intel', 'audio_development_kit', '-'], ['Application', 'intel', 'computer_vision_annotation_tool', '-'], ['Application', 'intel', 'data_center_manager', '-'], ['Application', 'intel', 'genomics_kernel_library', '-'], ['Application', 'intel', 'oneapi_sample_browser', '-'], ['Application', 'intel', 'secure_device_onboard', '-'], ['Application', 'intel', 'sensor_solution_firmware_development_kit', '-'], ['Application', 'intel', 'system_debugger', '-'], ['Application', 'netapp', 'active_iq_unified_manager', '-'], ['Application', 'netapp', 'active_iq_unified_manager', '-'], ['Application', 'netapp', 'active_iq_unified_manager', '-'], ['Application', 'netapp', 'cloud_insights', '-'], ['Application', 'netapp', 'cloud_manager', '-'], ['Application', 'netapp', 'cloud_secure_agent', '-'], ['Application', 'netapp', 'oncommand_insight', '-'], ['Application', 'netapp', 'ontap_tools', '-'], ['Application', 'siemens', 'captial', 'versions up to (excluding) 2019.1'], ['Application', 'siemens', 'captial', '2019.1'], ['Application', 'siemens', 'captial', '2019.1'], ['Application', 'siemens', 'comos', '*'], ['Application', 'siemens', 'desigo_cc_advanced_reports', '4.0'], ['Application', 'siemens', 'desigo_cc_advanced_reports', '4.1'], ['Application', 'siemens', 'desigo_cc_advanced_reports', '4.2'], ['Application', 'siemens', 'desigo_cc_advanced_reports', ''], ['Application', 'sonicwall', 'email_security', 'versions up to (excluding) 10.0'], ['Operating System', 'debian', 'debian_linux', '9.0'], ['Operating System', 'debian', 'debian_linux', '10.0'], ['Operating System', 'debian', 'debian_linux', '11.0'], ['Operating System', 'fedoraproject', 'fedora', '35'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '*'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '2.0'], ['Application', 'apache', 'log4j', '*']]"
LockBit 3.0,CVE-2022-41040,3.1,8.8 ,Microsoft Exchange Server Elevation of Privilege Vulnerability.,Network,Low,Low,None,High,High,High,"[['Application', 'microsoft', 'exchange_server', '2013'], ['Application', 'microsoft', 'exchange_server', '2016'], ['Application', 'microsoft', 'exchange_server', '2016'], ['Application', 'microsoft', 'exchange_server', '2019'], ['Application', 'microsoft', 'exchange_server', '2019']]"
LockBit 3.0,CVE-2022-41082,3.1,8.8 ,Microsoft Exchange Server Remote Code Execution Vulnerability.,Network,Low,Low,None,High,High,High,"[['Application', 'microsoft', 'exchange_server', '2013'], ['Application', 'microsoft', 'exchange_server', '2016'], ['Application', 'microsoft', 'exchange_server', '2016'], ['Application', 'microsoft', 'exchange_server', '2019'], ['Application', 'microsoft', 'exchange_server', '2019']]"
LockBit 3.0,CVE-2022-35405,3.1,9.8 ,Zoho ManageEngine Password Manager Pro before 12101 and PAM360 before 5510 are vulnerable to unauthenticated remote code execution. (This also affects ManageEngine Access Manager Plus before 4303 with authentication.),Network,Low,None,None,High,High,High,"[['Application', 'zohocorp', 'manageengine_access_manager_plus', 'versions up to (excluding) 4.3'], ['Application', 'zohocorp', 'manageengine_access_manager_plus', '4.3'], ['Application', 'zohocorp', 'manageengine_access_manager_plus', '4.3'], ['Application', 'zohocorp', 'manageengine_access_manager_plus', '4.3'], ['Application', 'zohocorp', 'manageengine_pam360', 'versions up to (excluding) 5.5'], ['Application', 'zohocorp', 'manageengine_pam360', '5.5']]"
LockBit 3.0,CVE-2022-31061,3.1,9.8 ,"GLPI is a Free Asset and IT Management Software package, Data center management, ITIL Service Desk, licenses tracking and software auditing. In affected versions there is a SQL injection vulnerability which is possible on login page. No user credentials are required to exploit this vulnerability. Users are advised to upgrade as soon as possible. There are no known workarounds for this issue.",Network,Low,None,None,High,High,High,"[['Application', 'glpi-project', 'glpi', '*'], ['Application', 'glpi-project', 'glpi', '*']]"
LockBit 3.0,CVE-2020-27216,3.1,7.0 ,"In Eclipse Jetty versions 1.0 thru 9.4.32.v20200930, 10.0.0.alpha1 thru 10.0.0.beta2, and 11.0.0.alpha1 thru 11.0.0.beta2O, on Unix like systems, the system's temporary directory is shared between all users on that system. A collocated user can observe the process of creating a temporary sub directory in the shared temporary directory and race to complete the creation of the temporary subdirectory. If the attacker wins the race then they will have read and write permission to the subdirectory used to unpack web applications, including their WEB-INF/lib jar files and JSP files. If any code is ever executed out of this temporary directory, this can lead to a local privilege escalation vulnerability.",Local,High,Low,None,High,High,High,"[['Application', 'oracle', 'communications_application_session_controller', '3.9m0p2'], ['Application', 'oracle', 'communications_element_manager', '*'], ['Application', 'oracle', 'flexcube_core_banking', '*'], ['Application', 'oracle', 'communications_application_session_controller', '3.9m0p2'], ['Application', 'oracle', 'communications_converged_application_server_-_service_controller', '6.2'], ['Application', 'oracle', 'communications_element_manager', '*'], ['Application', 'oracle', 'communications_offline_mediation_controller', '12.0.0.3.0'], ['Application', 'oracle', 'communications_pricing_design_center', '12.0.0.3.0'], ['Operating System', 'debian', 'debian_linux', '9.0'], ['Operating System', 'debian', 'debian_linux', '9.0'], ['Operating System', 'debian', 'debian_linux', '10.0'], ['Application', 'apache', 'beam', '2.21.0'], ['Application', 'apache', 'beam', '2.22.0'], ['Application', 'apache', 'beam', '2.23.0'], ['Application', 'apache', 'beam', '2.24.0'], ['Application', 'apache', 'beam', '2.25.0'], ['Operating System', 'debian', 'debian_linux', '9.0'], ['Application', 'oracle', 'communications_application_session_controller', '3.9m0p2'], ['Application', 'oracle', 'communications_element_manager', '*'], ['Application', 'oracle', 'flexcube_core_banking', '*'], ['Application', 'netapp', 'storage_replication_adapter', '*'], ['Application', 'vmware', 'vsphere', '-'], ['Application', 'netapp', 'snap_creator_framework', '-'], ['Application', 'netapp', 'snapcenter', '-'], ['Application', 'netapp', 'vasa_provider', '*'], ['Application', 'netapp', 'virtual_storage_console', '*'], ['Application', 'eclipse', 'jetty', '*'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '11.0.0'], ['Application', 'eclipse', 'jetty', '11.0.0'], ['Application', 'eclipse', 'jetty', '*'], ['Application', 'eclipse', 'jetty', '*'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '11.0.0'], ['Application', 'eclipse', 'jetty', '*'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '10.0.0'], ['Application', 'eclipse', 'jetty', '11.0.0'], ['Application', 'eclipse', 'jetty', '11.0.0']]"
LockBit 3.0,CVE-2022-26134,3.1,9.8 ,"In affected versions of Confluence Server and Data Center, an OGNL injection vulnerability exists that would allow an unauthenticated attacker to execute arbitrary code on a Confluence Server or Data Center instance. The affected versions are from 1.3.0 before 7.4.17, from 7.13.0 before 7.13.7, from 7.14.0 before 7.14.3, from 7.15.0 before 7.15.2, from 7.16.0 before 7.16.4, from 7.17.0 before 7.17.4, and from 7.18.0 before 7.18.1.",Network,Low,None,None,High,High,High,"[['Application', 'atlassian', 'confluence_data_center', '*'], ['Application', 'atlassian', 'confluence_data_center', '*'], ['Application', 'atlassian', 'confluence_data_center', '*'], ['Application', 'atlassian', 'confluence_data_center', '*']]"
LockBit 3.0,CVE-2022-30190,3.1,7.8 ,Microsoft Windows Support Diagnostic Tool (MSDT) Remote Code Execution Vulnerability.,Local,Low,None,Required,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '20h2'], ['Operating System', 'microsoft', 'windows_10', '21h1'], ['Operating System', 'microsoft', 'windows_10', '21h2'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_11', '-'], ['Operating System', 'microsoft', 'windows_11', '-'], ['Operating System', 'microsoft', 'windows_7', '-']]"
LockBit 3.0,CVE-2022-31676,3.1,7.8 ,"VMware Tools (12.0.0, 11.x.y and 10.x.y) contains a local privilege escalation vulnerability. A malicious actor with local non-administrative access to the Guest OS can escalate privileges as a root user in the virtual machine.",Local,Low,Low,None,High,High,High,"[['Application', 'vmware', 'tools', '*'], ['Application', 'vmware', 'tools', '*'], ['Operating System', 'linux', 'linux_kernel', '-'], ['Application', 'vmware', 'tools', '*'], ['Operating System', 'microsoft', 'windows', '-'], ['Operating System', 'debian', 'debian_linux', '10.0'], ['Operating System', 'debian', 'debian_linux', '11.0']]"
Conti,CVE-2021-34527,3.1,8.8 ,Windows Print Spooler Remote Code Execution Vulnerability,Network,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '20h2'], ['Operating System', 'microsoft', 'windows_10', '21h1'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1909'], ['Operating System', 'microsoft', 'windows_10', '2004'], ['Operating System', 'microsoft', 'windows_7', '-'], ['Operating System', 'microsoft', 'windows_8.1', '-']]"
